Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2023,1053.75,1057.60,1042.00,1047.80,1050.638604571818491982,23448,1535,24635374.00,8487,36.19,15.60,-5.95
19-January-2023,1045.00,1054.00,1040.40,1052.85,1047.854685048195471867,17844,1468,18697919.00,9156,51.31,13.60,7.85
18-January-2023,1049.75,1051.10,1044.00,1048.25,1047.846415921740597065,29645,1877,31063407.00,12648,42.66,7.10,-1.50
17-January-2023,1035.00,1048.70,1030.00,1045.70,1040.939418943662525245,127251,7247,132460582.00,82087,64.51,18.70,10.70
16-January-2023,1011.95,1036.15,1003.90,1034.60,1024.894125213781409422,68411,4258,70114032.00,29032,42.44,32.25,22.65
13-January-2023,1009.65,1009.65,986.30,1003.10,996.111058622600543256,110077,8412,109648917.00,41641,37.83,23.35,-6.55
12-January-2023,1006.55,1014.00,997.40,1002.05,1004.132796535954072200,41108,4527,41277891.00,18962,46.13,16.60,-4.50
11-January-2023,1006.05,1016.50,1003.70,1006.35,1011.931117755289788408,95656,4169,96797283.00,49012,51.24,12.80,0.30
10-January-2023,1015.00,1015.05,999.10,1002.65,1003.767991893981814788,112509,6838,112932933.00,64406,57.25,15.95,-12.35
9-January-2023,993.20,1020.50,993.20,1015.35,1013.595936024971777951,131989,6728,133783514.00,68214,51.68,27.30,22.15
6-January-2023,1010.00,1010.20,985.00,986.50,993.007446873660358870,81645,5825,81074093.00,41478,50.80,25.20,-23.50
5-January-2023,1028.85,1028.85,1005.00,1010.80,1012.574613265961191989,96578,2126,97792431.00,72222,74.78,23.85,-18.05
4-January-2023,1024.00,1029.20,1012.40,1020.05,1018.876407489685814027,157550,6287,160523978.00,109106,69.25,16.80,-3.95
3-January-2023,1009.50,1024.70,1008.10,1024.05,1019.873032138802656298,99537,3550,101515102.00,71077,71.41,16.60,14.55
2-January-2023,1018.00,1020.40,1005.45,1009.50,1009.383925814089146621,233144,6019,235331806.00,192444,82.54,14.95,-8.50
