Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2023,151.30,152.45,150.55,151.65,151.714387678760308546,348861,3896,52927233.00,91653,26.27,1.90,0.35
19-January-2023,147.75,152.10,147.75,151.65,150.921228691974747330,806093,9638,121656546.00,447563,55.52,4.35,3.90
18-January-2023,148.00,149.70,148.00,149.25,149.265654708700587898,571697,5786,85334727.00,347151,60.72,1.70,1.25
17-January-2023,148.10,149.00,146.65,147.85,147.714764643924339287,477553,4912,70541629.00,134287,28.12,2.35,-0.25
16-January-2023,147.30,147.75,146.00,147.60,147.118786835396280428,303207,3913,44607446.00,127895,42.18,1.75,0.30
13-January-2023,146.10,147.50,145.95,146.95,146.962173739085410341,212445,2397,31221379.00,48113,22.65,1.55,0.85
12-January-2023,148.35,148.35,145.70,146.05,146.596854597236498372,246137,2866,36082910.00,90976,36.96,2.65,-2.30
11-January-2023,149.20,150.00,146.30,146.75,147.634350545478470768,243181,2862,35901869.00,102302,42.07,3.70,-2.45
10-January-2023,148.95,150.30,148.65,149.30,149.445599522364745110,532624,5801,79598313.00,279360,52.45,1.65,0.35
9-January-2023,149.05,150.10,147.85,148.20,149.004352893379994258,637507,6305,94991318.00,293239,46.00,2.25,-0.85
6-January-2023,146.55,148.10,146.25,147.40,147.330495396217866733,423782,5022,62436012.00,191395,45.16,1.85,0.85
5-January-2023,146.00,147.00,144.20,146.50,145.936188850455954359,400698,4683,58476339.00,100608,25.11,2.80,0.50
4-January-2023,147.70,148.85,145.00,146.25,147.697113677200926783,2460986,4733,363480529.00,2159189,87.74,3.85,-1.45
3-January-2023,149.95,150.50,148.00,149.50,149.288770442346735218,508809,3972,75959470.00,183815,36.13,2.50,-0.45
2-January-2023,147.60,150.70,147.30,150.40,149.471345206908100165,1125693,11380,168258847.00,592321,52.62,3.40,2.80
30-December-2022,145.05,148.75,144.55,146.80,147.495209139786690721,1232764,7600,181826784.00,704229,57.13,4.20,1.75
29-December-2022,142.35,146.00,142.35,144.90,144.852457800113556620,970441,19647,140570764.00,411817,42.44,3.65,2.55
28-December-2022,143.15,144.65,142.70,143.90,143.689748672864984725,331918,4255,47693214.00,102810,30.97,1.95,0.75
27-December-2022,141.80,145.40,141.80,144.90,144.221168114890600009,485192,6885,69974957.00,175322,36.13,3.60,3.10
26-December-2022,139.55,142.80,139.50,141.30,141.310891860675470700,431166,8839,60928452.00,218648,50.71,3.30,1.75
23-December-2022,140.00,143.50,139.25,139.80,140.874272565845359229,820521,11009,115590299.00,537748,65.54,4.25,-0.20
22-December-2022,144.50,145.05,141.55,142.25,143.293529314250980825,633395,12877,90761405.00,365585,57.72,3.50,-2.25
21-December-2022,146.90,146.90,142.75,143.45,144.185361278038411817,713218,8516,102835595.00,299197,41.95,4.15,-3.45
20-December-2022,145.10,146.15,143.10,145.90,144.756546720719846855,1402076,15290,202959680.00,982212,70.05,3.05,0.80
19-December-2022,146.35,147.40,145.05,145.85,146.080309230402445077,511722,5456,74752508.00,216370,42.28,2.35,-0.50
16-December-2022,148.25,150.50,146.90,147.20,148.524088888193118131,766536,6167,113849061.00,109047,14.23,3.60,-1.05
15-December-2022,147.00,148.85,146.65,147.40,147.778291031060879083,668719,7280,98822151.00,337272,50.44,2.20,0.40
14-December-2022,144.00,148.55,144.00,147.60,147.334275802201590858,1949136,13886,287174541.00,1150223,59.01,4.55,3.60
13-December-2022,142.90,144.60,142.65,144.35,143.642617544672173058,1183231,6074,169962398.00,795128,67.20,1.95,1.45
12-December-2022,140.65,142.50,139.20,142.30,141.351501527997240781,498692,5619,70490863.00,284536,57.06,3.30,1.65
9-December-2022,142.05,143.00,140.45,140.75,142.019606428056987072,678961,5712,96425774.00,346431,51.02,2.55,-1.30
8-December-2022,140.85,142.95,140.35,142.65,141.341455480711132140,1251188,11053,176844733.00,666777,53.29,2.60,1.80
7-December-2022,141.00,141.75,140.15,140.80,141.073550083954056196,695023,9923,98049362.00,413470,59.49,1.60,-0.20
6-December-2022,143.05,143.05,141.15,142.40,141.902748589033450133,496291,5677,70425057.00,202601,40.82,1.90,-0.65
5-December-2022,141.00,144.00,140.55,143.75,142.538250714966634890,562264,4081,80144127.00,195335,34.74,3.45,2.75
2-December-2022,141.75,144.75,140.45,140.85,142.306213514477413649,958942,6137,136463405.00,402794,42.00,4.30,-0.90
1-December-2022,141.15,141.85,139.80,140.00,140.847359039461807697,615988,6826,86760283.00,247114,40.12,2.05,-1.15
30-November-2022,140.50,141.75,139.60,141.15,140.806209931207348900,726095,7378,102238685.00,426057,58.68,2.15,0.65
29-November-2022,139.60,141.10,139.45,140.25,140.229723709690616675,219986,2659,30848576.00,69150,31.43,1.65,0.65
28-November-2022,139.10,141.15,139.00,139.55,140.326348374023188529,607973,7666,85314631.00,366916,60.35,2.15,0.45
25-November-2022,139.45,141.30,137.80,140.55,140.202489371025237153,337756,2878,47354232.00,126949,37.59,3.50,1.10
24-November-2022,136.05,139.90,135.50,139.35,138.425109166054939756,873211,10869,120874328.00,604984,69.28,4.40,3.30
23-November-2022,135.15,136.70,134.60,136.50,135.411248867087775617,289078,3141,39144413.00,89599,30.99,2.10,1.35
22-November-2022,135.30,135.85,132.95,135.15,134.381071516672402293,656714,5992,88249931.00,254534,38.76,2.90,-0.15
21-November-2022,136.15,136.45,134.45,135.45,135.341543117148890775,459330,4641,62166431.00,167271,36.42,2.00,-0.70
