Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2023,933.95,934.60,924.75,930.70,930.468974031622216922,71279,2680,66322898.00,33556,47.08,9.85,-3.25
19-January-2023,924.10,937.95,920.80,928.45,930.126656168227618788,168914,6929,157111414.00,77849,46.09,17.15,4.35
18-January-2023,920.00,925.25,913.10,924.10,920.096614586778499517,75589,3548,69549183.00,27384,36.23,12.15,4.10
17-January-2023,921.60,921.60,906.95,917.70,912.455139255423846746,159527,4255,145561231.00,83181,52.14,14.65,-3.90
16-January-2023,942.00,942.00,911.80,913.10,922.611456181363488093,147152,7078,135764121.00,58375,39.67,30.20,-28.90
13-January-2023,937.95,937.95,922.50,934.20,930.394812642211729426,76031,3361,70738848.00,9761,12.84,15.45,-3.75
12-January-2023,949.90,950.35,923.85,935.35,933.378566859494938257,143824,7792,134242239.00,49741,34.58,26.50,-14.55
11-January-2023,950.25,955.75,942.90,950.00,949.203698143026471750,63275,4401,60060864.00,30194,47.72,12.85,-0.25
10-January-2023,964.15,964.15,943.00,951.90,951.737104498153271448,142414,10779,135540688.00,89206,62.64,21.15,-12.25
9-January-2023,945.00,960.00,941.10,958.90,952.781885397412199630,182317,11911,173708335.00,119103,65.33,18.90,13.90
6-January-2023,948.00,950.10,934.15,939.95,940.731143289388372595,78659,4640,73996971.00,28822,36.64,15.95,-8.05
5-January-2023,963.00,963.00,938.50,949.50,949.454810775753353911,83261,3858,79052557.00,18259,21.93,24.50,-13.50
4-January-2023,964.00,970.45,955.05,957.40,963.548998176129152242,306491,14850,295319096.00,108894,35.53,15.40,-6.60
3-January-2023,942.10,965.85,942.10,962.65,956.866760430441141425,214013,5900,204781926.00,76212,35.61,23.75,20.55
2-January-2023,930.05,945.00,930.05,941.45,939.359387483355525965,112650,5361,105818835.00,63025,55.95,14.95,11.40
30-December-2022,943.00,943.50,930.40,933.85,937.075865928283841334,137598,5462,128939765.00,46116,33.52,13.10,-9.15
29-December-2022,921.60,942.00,915.50,935.00,928.787379604321228686,122928,4556,114173975.00,56536,45.99,26.50,13.40
28-December-2022,931.95,937.30,921.15,924.95,931.712934257745711440,106446,4033,99177115.00,34198,32.13,16.15,-7.00
27-December-2022,933.00,937.85,922.55,932.55,929.694176709009312484,92027,3669,85556966.00,31831,34.59,15.30,-0.45
26-December-2022,904.30,932.85,904.30,928.75,920.491665979721374989,121310,5584,111664844.00,52912,43.62,28.55,24.45
23-December-2022,906.20,916.65,903.75,906.60,909.708277204011375542,93534,4421,85088654.00,47940,51.25,12.90,0.40
22-December-2022,934.35,935.65,913.00,919.15,920.054548762152415501,186897,10152,171955435.00,99108,53.03,22.65,-15.20
21-December-2022,954.60,958.90,927.60,932.35,944.657605557113864735,242428,9808,229011454.00,99307,40.96,31.30,-22.25
20-December-2022,946.20,952.90,940.55,950.05,946.979622766962286474,204542,18686,193697106.00,92140,45.05,12.35,3.85
19-December-2022,933.40,947.95,932.45,946.20,941.871913955768147782,143833,17447,135472263.00,81319,56.54,15.50,12.80
16-December-2022,933.10,945.00,929.00,935.15,935.665423813074819786,136782,6768,127982188.00,64357,47.05,16.00,2.05
15-December-2022,937.55,944.65,933.00,938.40,940.824231010671688637,95580,4918,89923980.00,47956,50.17,11.65,0.85
14-December-2022,945.00,950.00,938.55,942.30,945.274268174329112781,132921,5747,125646801.00,64145,48.26,11.45,-2.70
13-December-2022,942.40,949.00,936.40,944.60,945.412654615345413775,137357,5766,129859046.00,66726,48.58,12.60,2.20
12-December-2022,928.55,940.75,921.70,938.85,932.475864245101549178,164797,10367,153669225.00,76997,46.72,19.05,10.30
9-December-2022,943.50,945.45,927.55,933.70,934.516230931765559299,237109,9895,221582209.00,116520,49.14,17.90,-9.80
8-December-2022,917.65,944.00,914.00,939.45,932.744471270727495263,477144,17935,445053428.00,207885,43.57,30.00,21.80
7-December-2022,903.95,918.20,900.00,914.70,909.734148916350990498,128824,4832,117195592.00,56870,44.15,18.20,10.75
6-December-2022,896.10,906.00,895.85,904.60,901.926477689208336961,126329,5331,113939470.00,76286,60.39,10.15,8.50
5-December-2022,905.05,906.50,897.65,899.30,900.851768283710207485,61161,2462,55096995.00,34614,56.59,8.85,-5.75
2-December-2022,897.15,906.95,891.50,904.80,897.667587540576006630,101353,3397,90981303.00,57308,56.54,15.45,7.65
1-December-2022,905.00,907.80,899.25,903.00,904.669869649251092550,291291,12524,263522191.00,237572,81.56,8.55,-2.00
30-November-2022,899.00,905.00,885.20,901.50,892.642928786359077231,91724,3343,81876780.00,46969,51.21,19.80,2.50
29-November-2022,891.70,901.80,890.00,891.85,896.720961688026240151,88719,3481,79556187.00,45209,50.96,11.80,0.15
28-November-2022,887.65,899.55,885.55,891.40,893.839534767049065186,119596,4508,106899633.00,59970,50.14,14.00,3.75
25-November-2022,881.00,891.80,881.00,887.65,886.422984228247386142,338580,9717,300125094.00,180258,53.24,10.80,6.65
24-November-2022,877.25,881.00,873.20,879.00,877.965897492344947665,149901,6100,131607966.00,85100,56.77,7.80,1.75
23-November-2022,871.35,877.95,869.00,874.85,871.106535298601542114,545744,5283,475401165.00,469292,85.99,8.95,3.50
22-November-2022,875.40,877.00,868.40,870.05,871.847454688155949404,109574,2897,95531813.00,39340,35.90,8.60,-5.35
21-November-2022,859.25,871.10,858.90,869.70,866.427422359897772140,265681,8480,230193304.00,144777,54.49,12.20,10.45
18-November-2022,859.70,865.85,855.20,859.25,860.705067001675041876,119400,3805,102768185.00,,,10.65,-0.45
17-November-2022,854.05,861.50,852.70,857.50,857.995248581755511405,83554,2921,71688935.00,29460,35.26,8.80,3.45
16-November-2022,856.00,861.50,850.70,854.65,856.153266834025725901,90026,3142,77076054.00,30225,33.57,10.80,-1.35
15-November-2022,850.00,859.80,847.30,858.40,851.891017262743367338,353478,7078,301124733.00,292624,82.78,12.50,8.40
14-November-2022,849.10,853.95,847.65,851.25,850.403597480106100795,168896,8869,143629766.00,80050,47.40,6.30,2.15
11-November-2022,847.20,854.80,844.20,850.95,850.133036974854046628,419312,7766,356470984.00,149255,35.60,10.60,3.75
10-November-2022,846.00,856.90,841.00,843.40,847.037032151690024732,485200,16473,410982368.00,294030,60.60,15.90,-2.60
9-November-2022,874.60,880.45,868.00,874.35,875.013136733960519107,169753,8023,148536105.00,85691,50.48,12.45,-0.25
7-November-2022,878.45,878.45,861.00,872.90,869.477688640021058047,167157,7701,145339282.00,77356,46.28,17.45,-5.55
4-November-2022,869.00,872.60,862.45,867.25,866.253366649348935784,363789,5698,315133446.00,292304,80.35,10.15,-1.75
3-November-2022,854.10,880.45,854.10,863.95,870.329952006391949598,185233,5406,161213828.00,41838,22.59,26.35,9.85
2-November-2022,873.35,876.00,861.65,863.20,867.134640866307228365,262632,11124,227737305.00,111673,42.52,14.35,-10.15
1-November-2022,903.00,903.35,869.00,871.75,891.098531439071158894,42816882,32182,38154060671.00,38334366,89.53,34.35,-31.25
31-October-2022,907.35,917.80,902.35,905.85,909.934198538195217752,98782,3894,89885120.00,36784,37.24,15.45,-1.50
28-October-2022,911.15,917.95,898.80,903.00,904.637660383161965023,364128,8001,329403902.00,247317,67.92,19.15,-8.15
27-October-2022,906.45,919.95,901.40,915.25,912.120966262572262666,190797,6558,174029944.00,59307,31.08,18.55,8.80
25-October-2022,905.80,910.70,891.75,902.90,900.962087040857169247,259832,6847,234098781.00,68226,26.26,18.95,-2.90
24-October-2022,919.20,919.20,905.15,909.10,911.031527797844916085,131503,5326,119803379.00,,,14.05,-10.10
21-October-2022,860.00,905.00,855.70,900.25,882.540379338956563347,1964470,45831,1733724099.00,713271,36.31,49.30,40.25
20-October-2022,828.90,831.85,816.85,826.20,824.643747710790418284,136510,3662,112572118.00,32101,23.52,15.00,-2.70
19-October-2022,819.90,838.00,817.15,829.65,830.117732261703092937,240257,5815,199441596.00,77212,32.14,20.85,9.75
18-October-2022,819.05,822.85,811.50,815.90,817.340834495425325669,235208,7319,192245103.00,121064,51.47,11.35,-3.15
17-October-2022,805.70,817.00,796.90,814.35,807.288538028225887863,198116,5150,159936776.00,55536,28.03,20.10,8.65
14-October-2022,813.10,820.50,794.25,800.35,808.399198411667563505,215572,8194,174268232.00,105188,48.79,26.25,-12.75
13-October-2022,807.00,814.70,795.60,802.25,804.383901203855892674,202599,7982,162967374.00,68806,33.96,19.10,-4.75
12-October-2022,788.00,810.40,783.55,808.40,800.957451176589176822,540673,17173,433056068.00,302064,55.87,26.85,20.40
11-October-2022,781.00,795.30,774.55,785.70,778.350026988087673235,3114337,13317,2424044288.00,2846955,91.41,20.75,4.70
10-October-2022,747.30,778.80,745.00,776.75,769.540379001533818217,404220,9531,311063612.00,197626,48.89,33.80,29.45
7-October-2022,755.80,759.10,742.65,755.90,750.314653915680214589,102894,4158,77202876.00,34134,33.17,16.45,0.10
6-October-2022,748.60,760.30,746.50,755.20,754.092957137522846230,305302,17272,230226088.00,198774,65.11,13.80,6.60
4-October-2022,732.50,744.50,732.50,742.95,741.054196978993192508,102681,4761,76092186.00,40800,39.73,12.00,10.45
3-October-2022,730.15,741.75,720.80,722.95,731.267449703071279343,182367,8577,133359051.00,66208,36.30,20.95,-7.20
30-September-2022,719.00,737.45,714.45,733.50,727.580002615476739464,145289,4259,105709371.00,30778,21.18,23.00,14.50
29-September-2022,734.75,734.75,710.85,718.65,721.763754393742677095,157895,4198,113962888.00,37826,23.96,23.90,-16.10
28-September-2022,736.45,736.45,706.00,716.35,707.441787932252853344,17006886,18885,12031381839.00,15433405,90.75,30.45,-20.10
27-September-2022,744.00,753.80,731.00,737.30,740.547646193562107526,169279,5755,125359165.00,56827,33.57,22.80,-6.70
26-September-2022,757.50,763.05,740.85,742.45,750.050763342527191268,211373,10787,158540480.00,,,22.20,-15.05
23-September-2022,788.00,788.70,764.30,768.60,771.375795408170976859,132322,6575,102069988.00,46934,35.47,24.40,-19.40
22-September-2022,805.00,808.70,784.30,789.10,790.306231161001974846,346356,7847,273727305.00,254604,73.51,24.40,-15.90
21-September-2022,810.00,815.85,804.50,805.95,808.987376558818571355,255081,9136,206357309.00,174647,68.47,11.35,-4.05
20-September-2022,805.35,816.00,803.30,812.50,813.020334833583892242,429706,15701,349359716.00,300946,70.04,12.70,7.15
19-September-2022,786.20,802.00,786.20,798.85,790.164111546379776571,3873725,10425,3060878473.00,3750244,96.81,15.80,12.65
16-September-2022,786.00,792.40,776.15,789.40,784.128331990584964377,316515,6165,248188379.00,197571,62.42,16.25,3.40
15-September-2022,805.00,806.65,787.50,789.70,795.116837678807718197,390713,10431,310662485.00,278967,71.40,19.15,-15.30
14-September-2022,789.50,811.25,789.50,801.35,801.038430655848948462,739774,5506,592587404.00,180507,24.40,21.75,11.85
13-September-2022,801.50,809.00,801.50,805.45,805.843433194514204372,443983,13142,357780785.00,314049,70.73,7.50,3.95
12-September-2022,785.50,805.15,785.50,801.15,798.394640401242189301,611501,14688,488219121.00,373326,61.05,19.65,15.65
9-September-2022,787.00,787.10,780.05,784.85,784.155521226118951497,262813,10930,206086265.00,,,7.05,-2.15
8-September-2022,757.00,782.00,757.00,779.85,771.476558758175579651,509444,14560,393024104.00,307456,60.35,25.00,22.85
7-September-2022,745.70,757.95,739.00,755.50,749.481280017607709661,127217,4160,95346760.00,28973,22.77,18.95,9.80
6-September-2022,756.70,761.70,748.75,749.95,754.750648109431933576,83705,2958,63176403.00,20779,24.82,12.95,-6.75
5-September-2022,751.10,758.60,749.60,755.95,754.944608574409375883,205122,6226,154855748.00,82477,40.21,9.00,4.85
2-September-2022,745.20,754.50,740.10,751.10,748.718525538418865896,173053,6012,129567987.00,,,14.40,5.90
1-September-2022,730.00,754.80,730.00,744.25,743.853346784088120620,183385,4720,136411546.00,76629,41.79,24.80,14.25
30-August-2022,733.00,753.50,733.00,751.15,744.778604001222699796,160301,7162,119388755.00,97396,60.76,20.50,18.15
29-August-2022,725.00,735.00,722.05,728.60,729.443936411431988637,80266,3171,58549547.00,26222,32.67,12.95,3.60
26-August-2022,745.50,755.00,741.50,744.30,748.744124079334355596,79562,4054,59571580.00,14264,17.93,13.50,-1.20
25-August-2022,752.00,758.40,739.90,743.00,750.982009897900040126,134574,5540,101062653.00,57069,42.41,18.50,-9.00
24-August-2022,745.00,752.05,742.50,750.90,746.164019164740541539,611331,2381,456153196.00,535545,87.60,9.55,5.90
23-August-2022,741.70,750.65,733.75,746.75,740.978255198342668610,130330,5120,96571696.00,34654,26.59,16.90,5.05
22-August-2022,751.25,755.00,739.15,741.70,743.892807053589773366,223886,9972,166547185.00,98420,43.96,15.85,-9.55
19-August-2022,772.75,772.75,750.15,758.90,763.800063587714392321,1214071,6403,927307507.00,1078278,88.82,22.60,-13.85
18-August-2022,773.90,776.00,762.10,764.95,767.750541761681514949,141206,5022,108410983.00,,,13.90,-8.95
17-August-2022,773.05,773.55,766.15,772.00,770.862795949016684086,280327,8208,216093655.00,165316,58.97,7.40,-1.05
16-August-2022,765.00,772.00,758.70,765.45,765.665155830925005717,192388,5268,147304788.00,92170,47.91,13.30,0.45
12-August-2022,759.40,761.95,753.50,760.45,758.526103420133520552,197273,6602,149636720.00,101892,51.65,8.45,1.05
11-August-2022,742.00,760.60,742.00,759.20,753.820153591097052041,262385,7549,197791101.00,149861,57.11,18.60,17.20
10-August-2022,746.00,747.85,735.80,738.85,740.557639754659084008,279937,8976,207309484.00,203446,72.68,12.05,-7.15
8-August-2022,733.50,747.40,728.25,745.75,741.017863618937093949,193018,4359,143029786.00,67705,35.08,19.15,12.25
5-August-2022,722.70,731.00,721.25,728.25,727.447144814984010963,218900,6139,159238180.00,85762,39.18,9.75,5.55
4-August-2022,736.00,736.50,712.30,721.75,723.937362531507377141,124574,3778,90183773.00,34651,27.82,24.20,-14.25
3-August-2022,731.00,738.45,727.55,730.30,731.465533766932368330,204490,5714,149577387.00,117297,57.36,10.90,-0.70
2-August-2022,727.00,734.10,721.20,730.25,728.182452956314227229,288721,12594,210241566.00,209015,72.39,12.90,3.25
1-August-2022,725.00,732.00,720.60,730.95,724.993013475099535691,3219197,10585,2333895334.00,3148150,97.79,11.40,5.95
29-July-2022,733.00,734.70,722.95,724.80,727.235542733112685455,148351,4943,107886120.00,86352,58.21,11.75,-8.20
