Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-May-2019,2113.00,2165.00,2104.55,2154.70,2150.103067217047813688,123793,4983,266167709.00,42450,34.29,60.45,41.70
3-May-2019,2191.00,2191.00,2125.15,2132.50,2155.686406926406926406,167475,9327,361023581.00,53476,31.93,65.85,-58.50
2-May-2019,2260.00,2260.00,2209.45,2214.40,2227.539745123229817333,67719,4309,150846764.00,21829,32.23,50.55,-45.60
30-April-2019,2230.00,2265.00,2230.00,2254.95,2250.954341066730447261,125430,7582,282337203.00,45897,36.59,35.00,24.95
26-April-2019,2200.00,2244.55,2193.75,2238.30,2226.298301436526133545,149597,7924,333047547.00,51617,34.50,50.80,38.30
25-April-2019,2169.00,2199.00,2169.00,2191.70,2180.868447183350906466,97687,6216,213042496.00,29819,30.52,30.00,22.70
24-April-2019,2157.70,2195.00,2155.40,2185.45,2175.115822429578699968,114028,5518,248024107.00,32359,28.38,39.60,27.75
23-April-2019,2166.00,2167.60,2135.10,2157.70,2148.692205935408009193,74839,3515,160805976.00,19535,26.10,32.50,-8.30
22-April-2019,2148.00,2175.95,2147.25,2164.35,2169.781896667292275518,186485,5344,404631777.00,99507,53.36,28.70,16.35
18-April-2019,2141.00,2150.05,2116.30,2145.50,2137.707918605836192546,88311,4079,188783124.00,21185,23.99,33.75,4.50
16-April-2019,2116.00,2153.80,2116.00,2132.45,2137.561272556287927668,237129,10848,506877767.00,61356,25.87,37.80,16.45
15-April-2019,2071.00,2115.00,2041.05,2110.05,2085.436166515563614385,397080,17124,828084993.00,93127,23.45,73.95,39.05
12-April-2019,2040.00,2040.00,2008.05,2013.75,2021.322723328863621194,164813,6209,333140262.00,50653,30.73,31.95,-26.25
11-April-2019,2048.00,2055.30,2012.35,2019.05,2030.150984699117631624,133391,6837,270803870.00,37100,27.81,42.95,-28.95
10-April-2019,2098.60,2098.60,2038.55,2043.80,2055.710519287970457956,108591,5031,223231661.00,26306,24.22,60.05,-54.80
9-April-2019,2074.70,2096.10,2057.00,2088.10,2085.448499490332367506,124591,4965,259828114.00,35281,28.32,39.10,13.40
8-April-2019,2060.00,2078.00,2033.55,2069.75,2058.462709040529584190,112239,5087,231039796.00,34812,31.02,44.45,9.75
5-April-2019,2029.70,2058.95,2020.00,2051.45,2042.882671409071818563,152384,5206,311302633.00,31490,20.66,38.95,21.75
4-April-2019,2080.00,2080.75,2006.00,2014.30,2035.539991777515483468,150806,7255,306971644.00,48203,31.96,74.75,-65.70
3-April-2019,2089.80,2089.80,2060.00,2080.25,2075.845900000793266751,126061,4606,261683210.00,28333,22.48,29.80,-9.55
2-April-2019,2040.00,2084.00,2035.55,2079.50,2065.352702062555212721,156214,6705,322637007.00,52626,33.69,48.45,39.50
1-April-2019,2010.00,2040.00,2009.25,2031.30,2009.365771075179008812,532795,3804,1070580036.00,465054,87.29,30.75,21.30
29-March-2019,2017.90,2024.90,1986.75,2000.40,2003.160494492175927172,148516,5648,297501384.00,38387,25.85,38.15,-17.50
28-March-2019,1978.00,2010.95,1972.40,2000.45,1991.720670472844385887,204930,4876,408163317.00,101190,49.38,38.55,22.45
27-March-2019,1985.00,1998.25,1961.00,1968.20,1976.927728094453421216,125014,5015,247143643.00,49681,39.74,37.25,-16.80
26-March-2019,1985.00,1994.00,1959.00,1981.80,1971.844966171715962160,133616,6422,263470037.00,45268,33.88,35.00,-3.20
25-March-2019,2007.00,2010.00,1979.30,1986.90,2014.254439869665480958,535545,5786,1078723894.00,461292,86.14,30.70,-20.10
22-March-2019,2015.50,2015.50,1985.50,2004.65,1997.989751262885403494,151043,5535,301782366.00,49252,32.61,30.00,-10.85
20-March-2019,2025.00,2044.60,2002.00,2015.50,2025.920858475572726215,154786,5939,313584186.00,31251,20.19,42.60,-9.50
19-March-2019,2026.00,2030.00,1996.40,2024.70,2010.777269964750212714,82270,4832,165426646.00,16056,19.52,33.60,-1.30
18-March-2019,2045.00,2062.90,2012.00,2021.30,2034.374289069941645936,108133,4523,219982995.00,21313,19.71,50.90,-23.70
15-March-2019,1993.00,2069.00,1993.00,2040.20,2040.033285996140754070,184492,7657,376369821.00,42397,22.98,76.00,47.20
14-March-2019,2009.00,2009.00,1982.30,1988.60,1991.858206593962916868,47407,3402,94428022.00,13475,28.42,26.70,-20.40
13-March-2019,2006.10,2015.15,1978.60,2001.15,2000.680598549567386049,91421,4920,182904221.00,32373,35.41,36.55,-4.95
12-March-2019,2018.00,2024.90,2003.35,2012.55,2014.939056522052984913,55412,3045,111651803.00,13945,25.17,21.55,-5.45
11-March-2019,2022.70,2032.80,2005.50,2014.10,2016.935331857150968034,52839,2639,106572846.00,14909,28.22,27.30,-8.60
8-March-2019,2029.00,2032.60,2010.05,2022.30,2023.187261225630778469,96587,4480,195413588.00,24130,24.98,22.55,-6.70
7-March-2019,2000.50,2021.00,2000.50,2011.50,2013.882118925019397615,70885,5079,142754034.00,19949,28.14,20.50,11.00
6-March-2019,1990.00,2014.35,1986.45,1999.40,2002.276816106456561402,110167,6353,220584830.00,33273,30.20,27.90,9.40
5-March-2019,2002.00,2005.00,1978.05,1987.85,1986.445943011281160347,87491,4811,173796142.00,24913,28.47,26.95,-14.15
